Dance,Song Title,Artist/Group,Found,Feature
2ST,Crazy Too,Lucy Angel,True,"[-4.22784081e+01  1.38931229e+02 -4.27825127e+01  6.17241058e+01
 -1.42058125e+01  3.51873360e+01 -2.44984512e+01  2.04333057e+01
 -1.22282019e+01  1.18979750e+01 -3.68054152e+00  4.82789469e+00
 -6.16288471e+00  4.39588010e-01  3.95118773e-01  4.49846387e-01
  4.83202338e-01  4.14543748e-01  5.09366512e-01  4.01260614e-01
  4.49518293e-01  4.92621511e-01  4.68729556e-01  6.03885591e-01
  4.35714543e-01  1.72912051e+01  9.86832406e+00  1.55437093e+01
  1.84092359e+01  1.74687069e+01  1.82077435e+01  4.90673303e+01
  7.63882380e-02  9.06661184e+01]"
2ST,Day Job,Gord Bamford,True,"[-5.67232857e+01  1.42712662e+02 -2.95958118e+01  4.06146164e+01
 -1.59305429e+01  4.40676041e+01 -1.62324638e+01  1.96474514e+01
 -1.25237999e+01  1.10160179e+01 -7.90868855e+00  5.05336285e+00
 -3.28447628e+00  3.96170229e-01  3.69846791e-01  4.89962459e-01
  3.98921430e-01  3.97110939e-01  3.92759353e-01  4.69856292e-01
  5.66431701e-01  4.73317444e-01  5.14997125e-01  4.40022796e-01
  4.97512877e-01  1.68650602e+01  1.08714899e+01  1.61308564e+01
  1.74466600e+01  1.82135503e+01  1.71608851e+01  4.84590540e+01
  6.38868019e-02  9.06661184e+01]"
2ST,Definite Possibilities,Jeff Carson,True,"[-1.10853027e+02  1.33988663e+02 -3.58546829e+01  4.81362076e+01
 -1.83954391e+01  3.58305817e+01 -2.13707829e+01  2.42589893e+01
 -1.25555420e+01  1.51242657e+01 -1.06328249e+01  8.62176800e+00
 -3.32259107e+00  4.73825455e-01  4.04423088e-01  3.83331090e-01
  4.00439233e-01  4.89226669e-01  3.76297593e-01  4.29296643e-01
  4.83035117e-01  5.09116411e-01  6.19551599e-01  4.98888105e-01
  4.90975440e-01  1.17472859e+01  1.08116669e+01  1.48845967e+01
  1.70469867e+01  1.71385917e+01  1.77068001e+01  4.77572556e+01
  8.32855886e-02  8.61328125e+01]"
2ST,Diesel Destiny,Buddy Jewell,True,"[-1.07624504e+02  1.44148193e+02 -1.95801868e+01  5.16691780e+01
 -6.14013863e+00  3.05944824e+01 -1.35599709e+01  1.59866905e+01
 -6.84857702e+00  1.20805855e+01 -5.47752190e+00  4.26276398e+00
  7.81874120e-01  5.44439256e-01  5.21650255e-01  5.69157064e-01
  5.19252598e-01  5.02836943e-01  5.03254473e-01  4.62261200e-01
  4.63381171e-01  4.65222150e-01  5.41983247e-01  5.62304735e-01
  5.46229005e-01  1.69831551e+01  1.11635348e+01  1.42468218e+01
  1.55199103e+01  1.61607743e+01  1.72431104e+01  4.69548997e+01
  5.00072562e-02  9.06661184e+01]"
2ST,Dog,The Bottle Rockets,True,"[-9.18056641e+01  1.59026093e+02 -4.08567696e+01  5.39170799e+01
 -1.43033934e+01  2.46016960e+01 -1.06872234e+01  1.09678507e+01
 -5.68398905e+00  7.59189987e+00 -5.09766102e+00  9.28833580e+00
  7.30871296e+00  3.93343687e-01  3.74860972e-01  3.44493121e-01
  4.85332012e-01  5.63547730e-01  4.05744910e-01  4.97069746e-01
  3.68012667e-01  4.07301992e-01  3.84053737e-01  4.11212593e-01
  5.83784044e-01  1.49193092e+01  1.06611442e+01  1.57111414e+01
  1.86343420e+01  1.80647227e+01  1.79960127e+01  4.86192260e+01
  5.93798375e-02  9.22851562e+01]"
2ST,Don't Make Me Beg,Steve Holy,True,"[-1.23178528e+02  1.36774689e+02 -3.58192406e+01  7.47211227e+01
 -1.92159653e+01  3.72048073e+01 -6.84644556e+00  8.13894367e+00
  6.29292822e+00  8.15812778e+00  5.42599058e+00 -1.19276822e+00
 -9.40604091e-01  4.11224991e-01  3.78486007e-01  4.08030182e-01
  4.43106055e-01  5.10800004e-01  5.02193332e-01  4.86057401e-01
  5.24798274e-01  4.95708555e-01  5.31486988e-01  4.76824135e-01
  5.00837386e-01  1.31937975e+01  1.12981285e+01  1.63203264e+01
  1.82869477e+01  1.78009463e+01  1.75261080e+01  4.99435167e+01
  6.76944130e-02  9.39630682e+01]"
2ST,Don't Need No Other Now,Rodney Crowell,True,"[-1.95623749e+02  1.64023209e+02 -3.37350159e+01  3.65580139e+01
 -6.82219744e+00  2.51348820e+01 -1.18849010e+01  1.01100740e+01
 -8.84953022e+00  7.10058832e+00 -6.29678059e+00  5.04124260e+00
 -6.47641754e+00  4.02041137e-01  3.55086535e-01  4.10714954e-01
  4.54162985e-01  4.40701604e-01  4.44533348e-01  5.24738312e-01
  3.93269300e-01  4.05295879e-01  4.40036207e-01  4.46426779e-01
  5.23654163e-01  1.91846545e+01  1.00854671e+01  1.51277541e+01
  1.74122228e+01  1.81769410e+01  1.88844498e+01  4.23852804e+01
  5.31002080e-02  9.93840144e+01]"
2ST,Easy Goin',Ray Kennedy,True,"[-1.67169937e+02  1.40993561e+02 -2.90665779e+01  5.90548553e+01
 -7.32477331e+00  2.63467312e+01 -7.58565331e+00  8.52602863e+00
 -5.77418543e-02  5.90552759e+00 -3.35459948e+00 -1.00293897e-01
  8.89806390e-01  3.96540880e-01  4.74105656e-01  5.26598811e-01
  4.76000816e-01  4.62400645e-01  4.45290685e-01  4.92783904e-01
  5.47537148e-01  4.97814983e-01  5.36551058e-01  4.47465360e-01
  4.13967818e-01  1.78939497e+01  1.14320001e+01  1.72687173e+01
  1.83395178e+01  1.72323939e+01  1.72804440e+01  4.55558046e+01
  5.74325703e-02  1.84570312e+02]"
2ST,Filler Up,Sting,True,"[-1.62780426e+02  1.36131775e+02 -2.51511040e+01  4.41229362e+01
 -1.48374147e+01  3.84562035e+01 -1.00725088e+01  1.53743134e+01
 -6.18158007e+00  1.52354412e+01 -7.80405617e+00  8.13205624e+00
 -2.17376256e+00  5.35179377e-01  5.16888201e-01  4.93564516e-01
  4.59330738e-01  5.05939424e-01  3.93169165e-01  3.73619437e-01
  4.06926215e-01  4.21949685e-01  5.04502833e-01  4.85488325e-01
  5.10705054e-01  1.63188206e+01  1.07330321e+01  1.55044230e+01
  1.77444770e+01  1.82032527e+01  1.84393104e+01  4.74667394e+01
  7.96616498e-02  9.22851562e+01]"
2ST,Firecracker,Josh Turner,True,"[-6.78962250e+01  1.54012283e+02 -3.32662315e+01  4.32560158e+01
 -1.29485731e+01  3.24166031e+01 -2.10265846e+01  1.44901981e+01
 -7.22668934e+00  6.15579891e+00 -8.33983898e+00  3.93469477e+00
 -4.39287376e+00  4.43767816e-01  4.62028235e-01  4.27093089e-01
  4.60616112e-01  4.33155924e-01  4.59693283e-01  5.60934246e-01
  5.11714280e-01  5.32044232e-01  4.71101850e-01  4.66617584e-01
  5.47536194e-01  1.51178241e+01  1.00224152e+01  1.43652957e+01
  1.70617927e+01  1.69211662e+01  1.83904804e+01  4.82431168e+01
  6.15939208e-02  1.72265625e+02]"
