Dance,Song Title,Artist/Group
CHA,Why's It Feel So Long,Keith Urban
CHA,Wicked Game,Emily B
CHA,Wonderful Waste Of Time,Alabama
CHA,You & Me,Native Mind
CHA,You Still Got It,Darryl Worley
CHA,You've Got To Talk To Me,Lee Ann Womack
ECS,About The South,Rodney Akins
ECS,All Shook Up,Rodney Crowell
ECS,As One,D.K. Davis
ECS,Back In Baby's Arms,Bigfoot
ECS,Back Up Against The Wall,Travis Tritt
ECS,Because of You,The Mavericks
ECS,Billy B. Bad,George Jones
ECS,Blue Collar Palace,Gord Bamford
ECS,Burnin' Love,Travis Tritt
ECS,Crazy Bout You Baby,Billy Ray Cyrus
ECS,"Daddy Had A Cardiac, Mama Bought A Cadillac",Billy Yates
ECS,Ding Dang Darn It,Ken Domash
ECS,Don't Drink the Water,Brad Paisley Feat Blake Shelton
ECS,Easy Money,Brad Paisley
ECS,Even If Tried,Emilio
ECS,Every Little Honky Tonk Bar,George Strait
ECS,Fast Lanes And Country Roads,Dierks Bentley
ECS,Fill In The Blank,Greg Bates
ECS,Gone For Real,The Charlie Daniel's Band
ECS,Good Time,Alan Jackson
ECS,Gotta Be Good,Kenny Davin Fine & The Tennessee Texans
ECS,Here For A Good Time,George Strait
ECS,Hey Y'All,Chris Cagle
ECS,Hole In My Head,Amber Lawrence
ECS,Honey I Do,Danni Leigh
ECS,Honky Tonk Habits,Emilio
ECS,Honky Tonk Highway,Luke Combs
ECS,Honky-Tonk Cool,Gil Grand
ECS,How I Got to Be This Way,Justin Moore
ECS,I Don't Want Nobody To Have My Love But You,Ronnie Milsap
ECS,I Hear Ya Talkin' (with Amos Lee),Asleep At the Wheel
ECS,I Only Want To Dance With You,Dustin Neighbors
ECS,I Wish That I Could Fall In Love Today,Blaine Larsen
ECS,If It Ain't One Thing,Randy Travis
ECS,It's Chitlin' Time,Kentucky Headhunters
ECS,Jim and Jack and Hank,Alan Jackson
ECS,Jukebox,Michael Martin Murphy
ECS,Knock Yourself Out,Lee Roy Parnell
ECS,Lil' Ol' Lonesome Dixie Town,Billy Currington
ECS,Little Deuce Coupe,James House & The Beach Boys
ECS,Little Deuce Coupe,The Beach Boys & James House
ECS,Love Done Gone,Billy Currington
ECS,MFC (Mama's Fried Chicken),Billy Yates
ECS,Movin' Out To The Country,Deryl Dodd
ECS,Never Loved Before,Alan Jackson
ECS,No Fair Falling In Love,Jeff Dugan
ECS,On Line,Brad Paisley
ECS,One Mississippi,Jill King
ECS,One Woman Man,Josh Turner
ECS,Out the Door,The Mavericks
ECS,Phone Call,Josh Christina
ECS,Restless,Shelby Lynne
ECS,Return to Sender,D.K. Davis
ECS,Rock This Planet,Billy Ray Cyrus
ECS,"Save Water, Drink Beer",Chris Young
ECS,See A Little More Of You,Foster Martin Band
ECS,Seven Lonely Days,Bouke
ECS,Sharp Dressed Man,Sharp Dressed Men
ECS,Shut Up And Fish,Maddie & Tae
ECS,Small Up And Simple Down,Neal McCoy
ECS,So Called Friend,Danni Leigh
ECS,Some Kind of Wonderful,Craig Wayne Boyd
ECS,Sugar And Pai,The Boots Band
ECS,Tailgate,Neal McCoy
ECS,That Ain't Country,Aaron Lewis
ECS,That's Love,Brad Paisley
ECS,The Night Is Young,George Strait
ECS,The Way She's Looking,The Raybon Brothers
ECS,Truckin',Dwight Yoakam
ECS,Up All Night,Tracy Lawrence
ECS,When I Leave This House,Adam Gregory & BillyRay Cyrus
ECS,Why Don't We Just Dance,Josh Turner
